route_id,shape_id,stop_id,stop_name,stop_sequence,stop_lon,stop_lat,dist
286,shape286-V,6079,"PRAÇA TERMINAL PAPICU, SN",1,-38.484761,-3.738568,9.54870770954215
286,shape286-V,1838,"AVENIDA JULIO ABREU, 315",2,-38.487623,-3.735893,781.02515187431
286,shape286-V,1830,"AVENIDA DOM LUIS, 1200",3,-38.490029,-3.735624,1052.72210258354
286,shape286-V,6206,"AVENIDA DOM LUIS, 690",4,-38.494905,-3.734051,1621.41718209747
286,shape286-V,1804,"AVENIDA DOM LUIS, 230",5,-38.499696,-3.732502,2220.61420005502
286,shape286-V,5638,"RUA COSTA BARROS, 2231",6,-38.503154,-3.733103,3052.87602018063
286,shape286-V,1783,"RUA COSTA BARROS, 2070",7,-38.505171,-3.732445,3288.36936456669
286,shape286-V,3961,"RUA COSTA BARROS, 870",8,-38.507723,-3.731611,3586.37441556973
286,shape286-V,1767,"RUA COSTA BARROS, 996",9,-38.510679,-3.730642,3931.6579632568
286,shape286-V,1768,"RUA COSTA BARROS, 1226",10,-38.512808,-3.729942,4180.41293039558
286,shape286-V,1747,"RUA COSTA BARROS, 915",11,-38.515598,-3.729033,4506.11677634691
286,shape286-V,1746,"RUA COSTA BARROS, 539",12,-38.518986,-3.72797,4900.68013791372
286,shape286-V,1001,"RUA DOR JOAO MOREIRA, 163",13,-38.526007,-3.723169,6056.20776918323
286,shape286-V,1000,"RUA DOR JOAO MOREIRA, 489",14,-38.528991,-3.722157,6405.94735083063
286,shape286-V,1013,"AVENIDA IMPERADOR, 270",15,-38.533477,-3.72369,7137.73989871025
286,shape286-V,1010,"AVENIDA IMPERADOR, 550",16,-38.534206,-3.726137,7420.08183322197
286,shape286-V,1692,"AVENIDA IMPERADOR, 832",17,-38.534757,-3.727993,7634.17462214582
286,shape286-V,1598,"AVENIDA DUQ CAXIAS, 1338",18,-38.536079,-3.729714,7950.27901763332
286,shape286-V,1596,"AVENIDA DUQ CAXIAS, 1584",19,-38.537818,-3.729141,8153.51620603036
286,shape286-V,2003,"AVENIDA MISTER HULL, SN",20,-38.571699,-3.73681,12262.4469167411
286,shape286-V,1997,"AVENIDA MISTER HULL, 3210",21,-38.574095,-3.737085,12530.245117846
286,shape286-V,1993,"AVENIDA MISTER HULL, SN",22,-38.57721,-3.737501,12879.1916042114
286,shape286-V,1980,"AVENIDA MISTER HULL, 10",23,-38.580987,-3.738015,13302.4404379983
286,shape286-V,1978,"AVENIDA MISTER HULL, 4465",24,-38.583002,-3.738306,13528.4912788887
286,shape286-V,6108,"PRAÇA TERMINAL ANTONIO BEZERRA, SN",25,-38.584186,-3.737485,13745.5672558435
